Window_size,Embedding_len,Batch_size,Num_negs,Validation_probability,Spearman_Correlation
5,50,128,40,0.4648063668,0.07560255981
5,50,64,40,0.3790828637,0.03234835663
5,50,64,80,0.3363847045,0.0522781684
5,50,128,80,0.4280215919,0.028302360
7,50,64,40,0.3707189193,0.05611501338
7,50,64,80,0.3222644963,0.04518200817
7,50,128,40,0.4702304636,0.07402229829
7,50,128,80,0.3996668353,0.08024956534
11,50,1,16,0.5187970704,0.08284322895
11,50,1,40,0.3565211862,0.0522518606
11,50,1,80,0.2806002184,0.05322458219
11,50,64,40,0.3173577579,0.0731265914
11,50,64,80,0.2508134484,0.03247989561
11,50,128,80,0.3531796764,0.08305702579
11,50,128,40,0.3833880616,0.05918063057
5,100,64,40,0.367941262,0.0581902938
5,100,64,80,0.3197999537,0.06063910355
7,100,64,80,0.3145493914,0.01707037963
7,100,64,40,0.3674153935,0.06764831467
11,100,64,40,0.3300840085,0.07546688148
11,100,80,64,0.2532556170,0.06745670929
